"year","NOM_ENT","POB","TotalPerros","TotalGatos","RAVd","RAVg","ProyeccionPerros","ProyeccionGatos","pm1a","gm1a","MFd","MFc","pControl","SIR_agresiones"
2020,"Nayarit",822742,5381,1420,3655,339,403760.898,104341.5967,0.3636,0.6337,0.3322,0.5599,0.0979,0.5257
2020,"Nuevo LeUn",3758297,205547,42094,183851,36560,1696622.5384,227816.7869,0.279,0.5622,0.6351,0.6087,0.0756,0.5319
2020,"OAXACA",2626639,265920,36318,263417,36139,1362710.7622,299000.8957,0.2616,0.4413,1.4435,1.1059,0.0019,0.3658
2020,"Puebla",4180191,679632,180538,660795,171487,2301079.1436,481930.1602,0.4159,0.6204,0.249,0.5017,0.0015,0.6306
2020,"QuerEtaro",1485346,253038,32202,244776,30178,794669.1753,138717.682,0.1206,0.1818,0.6787,0.6415,0.0178,0.4738
2020,"Quintana Roo",1126890,82113,11780,65497,10833,515084.9784,92336.2006,0.3072,0.4361,0.6773,0.7063,0.1876,0.5143
2020,"San Luis PotosI",1852832,81176,18253,73797,14651,976427.7758,170517.6412,0.2652,0.4639,0.3556,0.5065,0.0093,0.9764
2020,"Sinaloa",2091365,262056,68889,251015,64544,934100.9376,209422.2233,0.3185,0.4573,0.2943,0.5321,0.0142,0.1308
2020,"Sonora",2030584,208879,38374,187192,31443,1037814.2849,179822.9223,0.4145,0.5383,0.7375,0.6104,0.0299,0.5567
2020,"Tabasco",1655144,264465,46408,263117,46192,690195.7215,88010.7816,0.1821,0.4722,0.2515,0.4897,0.0027,0.2115
2020,"Tamaulipas",2396447,298150,65644,278701,62264,1170913.4572,158996.8657,0.3064,0.3689,0.4444,0.5137,0.045,0.702
2020,"Tlaxcala",888964,270189,66320,249760,58611,496625.1209,93699.42,0.3942,0.6224,0.2102,0.3801,0.0386,0.5014
2020,"Veracruz",5669609,633475,156598,624886,150729,2664486.8627,608815.8922,0.3802,0.3207,0.4887,0.3378,8e-04,0.4959
2020,"Yucat·n",1523560,205932,36125,205250,35820,856166.5843,199388.9766,0.0172,0.0393,0.3013,0.2298,5e-04,0.7082
2020,"Zacatecas",1045634,264717,49281,260242,47854,521892.8633,99415.5277,0.1081,0.1409,0.2394,0.4576,0.0028,0.2
